"100 Years","Playlist: The Very Best Of Five For Fighting","Five for Fighting","244000","5","61","","306"
"2 Me (feat. Kiddo AI &amp; Nick Smith)","2 Me","SMLE","253000","5","74","","147"
"A Sadness Runs Through Him","The Trick To Life","The Hoosiers","192000","5","147","","161"
"Addicted To You","True","Avicii","148000","5","52","","116"
"Africa","Toto IV","Toto","295000","5","66","","205"
"Again","Again","Kehlani","220000","5","66","","148"
"All Night Long (All Night) (Single Version)","The Definitive Collection","Lionel Richie","260000","5","73","","301"
"Annie","City of Black &amp; White","Mat Kearney","228000","5","39","","360"
"Another Love","Long Way Down","Tom Odell","244000","5","82","","8"
"Another Me","Symphony Soldier","The Cab","203000","5","71","","252"
"Anyone out There","Anyone out There","Stan SB","292000","5","66","","244"
"Are You Sure? (feat. Ty Dolla $ign)","Are You Sure? (feat. Ty Dolla $ign)","Conor Maynard","194000","5","94","","200"
"Artifice","Tremors","SOHN","197000","5","216","","215"
"Attention","Weird Kids","We Are The In Crowd","202000","5","75","","243"
"Baby I Need Your Loving","Four Tops","Four Tops","166000","5","19","","41"
"Be Right Here (feat. GOLDN)","Be Right Here","Kungs","191000","5","50","","126"
"Beat Of My Heart (feat. Love Harder)","Alive And Feeling Fine","Lost Frequencies","183000","5","13","","4"
"Before I Ever Met You","Goddess (Deluxe)","BANKS","267000","5","109","","212"
"Best I Ever Had (Grey Sky Morning)","Everything You Want","Vertical Horizon","270000","5","52","","271"
"Best of Me","Best of Me","Corey Harper","185000","5","112","","73"
"Better (Radio Edit) (feat. Justin Stein)","Better (Radio Edit)","Attom","180000","5","103","","207"
"Better Now","beerbongs &amp; bentleys","Post Malone","231000","5","82","","128"
"Beware The Dog","Be Impressive","The Griswolds","202000","5","55","","246"
"Beyond Me","Beyond Me","TobyMac","194000","5","71","","251"
"Black Rose","Only Through The Pain","Trapt","281000","5","106","","290"
"Bleed Into the Water","Afterimage","R.LUM.R","210000","5","16","","22"
"Blind","Barely Put Together","Corey Harper","222000","5","63","","60"
"Bloodflows","Tremors","SOHN","261000","5","134","","221"
"Bloom","Bloom","Troye Sivan","222000","5","95","","118"
"Body (Chus &amp; Ceballos Remix) (feat. brando)","Body (Chus &amp; Ceballos Remix)","Loud Luxury","207000","5","81","","150"
"Born to Rise","Irons In The Fire","Redlight King","206000","5","30","","339"
"Boston Square","Old Souls","Deaf Havana","213000","5","37","","338"
"Bottles at the Moon","Ride It Out","Radical Something","169000","5","19","","38"
"Brandy (You&#39;re a Fine Girl)","Looking Glass","Looking Glass","186000","5","74","","167"
"Break Free (feat. Zedd)","My Everything (Deluxe)","Ariana Grande","214000","5","84","","257"
"Breaking Inside","The Sound of Madness (Deluxe)","Shinedown","229000","5","34","","315"
"Breathe","Time Without Consequence","Alexi Murdoch","257000","5","22","","361"
"Broken Arrow","Broken Arrow","Francis Novotny","171000","5","83","","166"
"Bruises (feat. Ashley Monroe)","California 37","Train","231000","5","33","","334"
"BURN IT DOWN","LIVING THINGS","LINKIN PARK","230000","5","37","","320"
"Can You Feel My Love","Entitled, Pt. 2","JAAK","192000","5","26","","39"
"CAN&#39;T DANCE","CAN&#39;T DANCE","Meghan Trainor","180000","5","60","","109"
"Can&#39;t Go Back Now","Hideaway","Deb Talan","137000","5","37","","362"
"Careful","Brand New Eyes","Paramore","230000","5","76","","266"
"Careless Whisper","Finding Beauty In Negative Spaces","Seether","297000","5","93","","234"
"CAROUSEL","CAROUSEL","Aries","161000","5","77","","151"
"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR &amp; D.R.A.M.)","Funk Wav Bounces Vol.1","Calvin Harris","236000","5","104","","176"
"Casio","For Ever","Jungle","234000","5","46","","65"
"CASTLE OF GLASS","Living Things","Linkin Park","205000","5","110","","304"
"Cemetery","Dreamland","COIN","177000","5","24","","23"
"Chase You Down (Radio Edit)","Chase You Down","RUNAGROUND","213000","5","105","","201"
"Cheated","31 Minutes to Takeoff","Mike Posner","199000","5","91","","182"
"Chocolate","The 1975","The 1975","224000","5","51","","351"
"Circles","Hollywood&#39;s Bleeding","Post Malone","215000","5","68","","69"
"Circuit Breaker","The Understanding","RÃ¶yksopp","324000","5","56","","99"
"City Of Angels","Love Lust Faith + Dreams","Thirty Seconds to Mars","302000","5","50","","327"
"City Of Dreams (Radio Edit) (feat. Ruben Haze)","City Of Dreams","Dirty South","226000","5","0","","0"
"Cola (Robin Schulz Remix)","Cola (Robin Schulz Remix)","CamelPhat","195000","5","66","","156"
"Cold War","Blood Type","Cautious Clay","202000","5","89","","82"
"Cold Water (feat. Justin Bieber &amp; MÃ˜)","Cold Water","Major Lazer","185000","5","81","","131"
"Colors","BADLANDS (Deluxe)","Halsey","249000","5","203","","139"
"Conquistador","Love Lust Faith + Dreams","THIRTY SECONDS TO MARS","192259","5","179","","285"
"Control","BADLANDS (Deluxe)","Halsey","214000","5","77","","140"
"Crash","These Times","SafetySuit","172000","5","33","","314"
"Creatures Of The Night (feat. Austin Mahone)","Creatures Of The Night","Hardwell","180000","5","95","","189"
"Cross That Line","Wax Wings","Joshua Radin","181000","5","31","","365"
"Cry Tonight (Kiss Me Back) [Extended Mix]","Just Dance 2","Kim Sozzi","245000","5","47","","85"
"Crystalised","Crystalised","The xx","201000","5","61","","262"
"CVS","CVS","Winnetka Bowling League","209000","5","30","","25"
"Dance Monkey","Dance Monkey","Tones And I","209000","5","22","","28"
"Dancin (Krono Remix) (feat. Luvli)","Dancin (Krono Remix)","Aaron Smith","198000","5","62","","84"
"Dangerous","Always Never","Always Never","123000","5","99","","104"
"Defend Atlantis","Survival Story","Flobots","302000","5","95","","293"
"DerniÃ¨re danse","Mini World","Indila","213000","5","56","","245"
"Diddy Bop","Fifty Shades Freed (Original Motion Picture Soundtrack)","Jacob Banks","219000","5","73","","144"
"Disappoint","Failure","Assemblage 23","333998","5","66","","298"
"Do I Wanna Know?","Do I Wanna Know?","Arctic Monkeys","273000","5","140","","305"
"Do What You Feel","Photograph","Dirty Vegas","241000","5","85","","232"
"Don&#39;t Be so Hard on Yourself","I Cry When I Laugh","Jess Glynne","211000","5","84","","227"
"Don&#39;t Let Go","Don&#39;t Let Go","Don Diablo &amp; Holly Winter","192000","5","65","","158"
"Don&#39;t Rush","Hoax","Kevin Garrett","219000","5","37","","52"
"Drive You Home","Overnight","Parachute","229000","5","29","","312"
"Drum","Drum","MÃ˜","187000","5","92","","211"
"Duper","Fingerprint","Crooks on Tape","162000","5","42","","326"
"Dynamite (feat. Pretty Sister)","Dynamite (feat. Pretty Sister)","Nause","195000","5","103","","204"
"Edge Of Destruction (feat. Tech N9ne &amp; Twista)","Lace Up (Deluxe)","MGK","307000","5","45","","274"
"Elevate (Single Edit)","Elevate","The Winery Dogs","265000","5","35","","324"
"everything i wanted","everything i wanted","Billie Eilish","245000","5","30","","30"
"Eye of The Storm (feat. Gavin Beach)","Drive","Gareth Emery","245000","5","77","","228"
"Faded","The Nightday EP","ZHU","223000","5","51","","51"
"Farewell (feat. Chris Batson)","DC to Light","Morgan Page","198000","5","146","","233"
"Feels Like Summer","Parallel Play","Panama Wedding","249000","5","91","","255"
"Feels Like Summer","Summer Pack","Childish Gambino","297000","5","70","","96"
"Feet Don&#39;t Fail Me Now","All I Need (Deluxe Version)","Foxes","203000","5","37","","48"
"Finally Feel Good","Finally Feel Good","James Arthur","215000","5","80","","55"
"Fingertips","Fingertips","Leo Kalyan","255000","5","24","","15"
"Fire, Fire","Filthy Empire","Heaven&#39;s Basement","257000","5","29","","328"
"Fix This","The Colourist","The Colourist","225000","5","61","","272"
"Fools Gold","More Than Just a Dream","Fitz and The Tantrums","214000","5","68","","263"
"FOOLS","Blue Neighbourhood (Deluxe)","Troye Sivan","220000","5","79","","223"
"Freak (Like Me)","Reveal","Underwhelmed","225000","5","34","","45"
"FTPA (feat. Erik Hassle)","Sirens (Deluxe)","Gorgon City","284000","5","26","","36"
"Genuine","Genuine","Shagabond","215000","5","53","","87"
