Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"100 Years","Playlist: The Very Best Of Five For Fighting","Five for Fighting","244000","5","61","","306"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"2 Me (feat. Kiddo AI &amp; Nick Smith)","2 Me","SMLE","253000","5","74","","147"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"A Sadness Runs Through Him","The Trick To Life","The Hoosiers","192000","5","147","","161"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Addicted To You","True","Avicii","148000","5","52","","116"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Africa","Toto IV","Toto","295000","5","66","","205"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Again","Again","Kehlani","220000","5","66","","148"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"All Night Long (All Night) (Single Version)","The Definitive Collection","Lionel Richie","260000","5","73","","301"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Annie","City of Black &amp; White","Mat Kearney","228000","5","39","","360"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Another Love","Long Way Down","Tom Odell","244000","5","82","","8"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Another Me","Symphony Soldier","The Cab","203000","5","71","","252"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Anyone out There","Anyone out There","Stan SB","292000","5","66","","244"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Are You Sure? (feat. Ty Dolla $ign)","Are You Sure? (feat. Ty Dolla $ign)","Conor Maynard","194000","5","94","","200"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Artifice","Tremors","SOHN","197000","5","216","","215"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Attention","Weird Kids","We Are The In Crowd","202000","5","75","","243"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Baby I Need Your Loving","Four Tops","Four Tops","166000","5","19","","41"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Be Right Here (feat. GOLDN)","Be Right Here","Kungs","191000","5","50","","126"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Beat Of My Heart (feat. Love Harder)","Alive And Feeling Fine","Lost Frequencies","183000","5","13","","4"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Before I Ever Met You","Goddess (Deluxe)","BANKS","267000","5","109","","212"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Best I Ever Had (Grey Sky Morning)","Everything You Want","Vertical Horizon","270000","5","52","","271"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Best of Me","Best of Me","Corey Harper","185000","5","112","","73"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Better (Radio Edit) (feat. Justin Stein)","Better (Radio Edit)","Attom","180000","5","103","","207"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Better Now","beerbongs &amp; bentleys","Post Malone","231000","5","82","","128"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Beware The Dog","Be Impressive","The Griswolds","202000","5","55","","246"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Beyond Me","Beyond Me","TobyMac","194000","5","71","","251"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Black Rose","Only Through The Pain","Trapt","281000","5","106","","290"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Bleed Into the Water","Afterimage","R.LUM.R","210000","5","16","","22"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Blind","Barely Put Together","Corey Harper","222000","5","63","","60"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Bloodflows","Tremors","SOHN","261000","5","134","","221"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Bloom","Bloom","Troye Sivan","222000","5","95","","118"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Body (Chus &amp; Ceballos Remix) (feat. brando)","Body (Chus &amp; Ceballos Remix)","Loud Luxury","207000","5","81","","150"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Born to Rise","Irons In The Fire","Redlight King","206000","5","30","","339"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Boston Square","Old Souls","Deaf Havana","213000","5","37","","338"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
